usuario_id,restaurante_id,puntuacion,fecha,comentario
44,85,1,2025-05-13,La experiencia fue aceptable.
77,122,4,2025-09-14,El ambiente fue agradable.
454,20,2,2024-06-23,Los platillos estuvieron bien preparados.
367,172,1,2025-10-11,Regresaría nuevamente.
164,20,2,2025-10-14,Muy buena experiencia.
396,28,2,2025-10-16,La comida estuvo deliciosa.
34,146,3,2025-01-26,Buena relación entre precio y calidad.
79,72,2,2024-11-14,Muy buena experiencia.
149,142,2,2026-03-18,Buena relación entre precio y calidad.
344,7,4,2026-04-18,El ambiente fue agradable.
493,14,2,2024-10-14,El ambiente fue agradable.
186,11,4,2026-02-01,Los platillos estuvieron bien preparados.
195,38,4,2024-07-23,Regresaría nuevamente.
440,179,2,2024-10-11,Regresaría nuevamente.
350,171,4,2025-06-30,La comida estuvo deliciosa.
390,27,2,2025-02-03,El servicio puede mejorar.
498,2,5,2026-04-27,La atención fue rápida.
139,198,3,2025-09-27,Muy buena experiencia.
374,28,1,2025-02-14,La experiencia fue aceptable.
242,193,1,2024-09-09,El servicio puede mejorar.
322,71,1,2026-03-25,La atención fue rápida.
376,66,3,2026-06-01,La atención fue rápida.
308,55,3,2025-09-07,La atención fue rápida.
364,86,5,2025-02-05,Los platillos estuvieron bien preparados.
489,191,5,2024-10-29,La atención fue rápida.
8,44,4,2025-04-22,La atención fue rápida.
85,162,1,2024-12-29,Buena relación entre precio y calidad.
433,91,5,2025-03-26,El servicio puede mejorar.
26,39,4,2025-06-29,Los platillos estuvieron bien preparados.
58,15,3,2025-02-15,Los platillos estuvieron bien preparados.
218,72,1,2025-12-16,Regresaría nuevamente.
17,107,2,2025-03-01,Regresaría nuevamente.
75,51,3,2025-04-24,Buena relación entre precio y calidad.
242,101,2,2026-03-03,Buena relación entre precio y calidad.
445,19,3,2025-04-24,Buena relación entre precio y calidad.
384,190,2,2026-05-20,Excelente servicio y comida.
267,104,4,2024-07-29,Los platillos estuvieron bien preparados.
262,184,1,2025-06-26,La atención fue rápida.
109,137,4,2026-02-28,Excelente servicio y comida.
294,65,1,2025-05-16,Excelente servicio y comida.
486,130,3,2025-08-24,Buena relación entre precio y calidad.
141,107,5,2025-12-23,La atención fue rápida.
240,154,2,2025-12-06,El servicio puede mejorar.
40,78,5,2024-08-31,La atención fue rápida.
278,194,4,2024-09-13,Muy buena experiencia.
425,108,1,2026-01-06,Buena relación entre precio y calidad.
312,191,3,2026-02-26,La atención fue rápida.
50,66,4,2026-06-14,Los platillos estuvieron bien preparados.
93,57,1,2025-11-11,La experiencia fue aceptable.
385,199,5,2026-01-17,La atención fue rápida.
479,92,5,2026-04-19,Los platillos estuvieron bien preparados.
101,100,5,2024-12-11,El servicio puede mejorar.
346,57,5,2025-01-31,Excelente servicio y comida.
468,98,2,2026-03-14,La experiencia fue aceptable.
420,153,5,2025-02-04,El servicio puede mejorar.
118,153,4,2025-02-18,La comida estuvo deliciosa.
274,175,2,2025-08-25,El ambiente fue agradable.
220,38,3,2025-01-23,El ambiente fue agradable.
107,193,3,2025-04-20,La experiencia fue aceptable.
131,76,3,2025-08-19,La experiencia fue aceptable.
429,191,1,2025-04-16,La experiencia fue aceptable.
361,148,2,2025-10-30,La comida estuvo deliciosa.
449,148,3,2025-04-10,Buena relación entre precio y calidad.
71,166,2,2026-01-16,La atención fue rápida.
270,183,2,2025-04-14,La atención fue rápida.
161,14,3,2024-07-21,El servicio puede mejorar.
335,130,2,2026-03-22,Regresaría nuevamente.
73,41,4,2025-05-25,Muy buena experiencia.
97,120,3,2025-09-10,Buena relación entre precio y calidad.
341,181,4,2025-02-13,Excelente servicio y comida.
27,16,1,2026-04-02,La experiencia fue aceptable.
271,143,2,2025-10-18,Regresaría nuevamente.
271,10,5,2024-09-20,Regresaría nuevamente.
359,152,4,2025-03-19,Excelente servicio y comida.
349,25,1,2025-08-03,La atención fue rápida.
248,182,1,2025-07-08,Muy buena experiencia.
4,180,5,2026-03-02,La comida estuvo deliciosa.
187,195,4,2025-07-02,El ambiente fue agradable.
107,130,3,2024-12-23,Excelente servicio y comida.
418,179,5,2025-05-27,Buena relación entre precio y calidad.
361,94,2,2025-03-06,Regresaría nuevamente.
124,35,4,2024-12-06,Regresaría nuevamente.
376,25,1,2025-07-13,Buena relación entre precio y calidad.
154,179,1,2025-05-06,Buena relación entre precio y calidad.
372,78,1,2025-08-17,El servicio puede mejorar.
333,66,4,2024-10-27,La experiencia fue aceptable.
363,144,1,2024-08-16,La comida estuvo deliciosa.
435,26,1,2025-11-11,Muy buena experiencia.
51,37,5,2025-05-09,Regresaría nuevamente.
184,140,1,2025-11-03,La experiencia fue aceptable.
192,72,2,2024-12-15,Excelente servicio y comida.
271,193,4,2026-01-11,Los platillos estuvieron bien preparados.
189,123,2,2026-01-05,Regresaría nuevamente.
393,25,1,2025-02-27,Excelente servicio y comida.
178,36,1,2025-04-02,Excelente servicio y comida.
476,122,5,2024-09-22,Excelente servicio y comida.
439,75,1,2024-11-16,Los platillos estuvieron bien preparados.
221,137,5,2024-11-04,El ambiente fue agradable.
251,72,3,2025-02-01,Los platillos estuvieron bien preparados.
433,173,2,2025-04-15,Regresaría nuevamente.
361,2,2,2025-04-05,La experiencia fue aceptable.
40,171,3,2026-04-16,La experiencia fue aceptable.
410,30,4,2024-08-04,El servicio puede mejorar.
317,65,5,2025-08-28,El servicio puede mejorar.
202,153,2,2025-01-05,Buena relación entre precio y calidad.
494,153,4,2024-10-10,Regresaría nuevamente.
400,160,2,2025-09-29,Excelente servicio y comida.
329,193,3,2025-12-03,La comida estuvo deliciosa.
324,153,3,2025-08-18,Los platillos estuvieron bien preparados.
475,44,1,2025-09-21,Excelente servicio y comida.
82,130,1,2025-08-19,Los platillos estuvieron bien preparados.
439,20,4,2026-02-07,Muy buena experiencia.
261,2,1,2024-10-16,La comida estuvo deliciosa.
304,145,5,2025-11-01,La experiencia fue aceptable.
321,40,5,2025-04-22,La atención fue rápida.
186,88,5,2024-07-09,El servicio puede mejorar.
16,142,1,2026-05-22,Buena relación entre precio y calidad.
159,81,4,2025-03-13,La atención fue rápida.
420,52,4,2025-09-09,El ambiente fue agradable.
365,133,3,2025-11-04,El ambiente fue agradable.
325,176,5,2026-02-02,La experiencia fue aceptable.
314,135,2,2026-06-21,El ambiente fue agradable.
441,60,2,2025-08-08,El servicio puede mejorar.
476,111,5,2024-07-07,Regresaría nuevamente.
13,200,3,2024-11-03,El ambiente fue agradable.
397,125,3,2026-06-19,La atención fue rápida.
110,46,5,2024-09-29,La atención fue rápida.
327,149,3,2024-10-19,La atención fue rápida.
277,27,1,2026-05-30,Los platillos estuvieron bien preparados.
314,57,4,2026-04-04,Regresaría nuevamente.
258,48,3,2025-04-04,Buena relación entre precio y calidad.
439,64,4,2026-04-07,Muy buena experiencia.
218,94,4,2024-12-12,El ambiente fue agradable.
131,53,3,2025-04-15,Excelente servicio y comida.
413,96,4,2025-10-17,El servicio puede mejorar.
443,113,1,2024-11-23,La atención fue rápida.
277,3,1,2024-10-19,La atención fue rápida.
315,55,2,2024-07-05,Muy buena experiencia.
395,25,2,2024-11-22,Buena relación entre precio y calidad.
10,178,2,2024-11-24,El servicio puede mejorar.
388,98,4,2025-01-28,La experiencia fue aceptable.
394,35,5,2025-06-28,Muy buena experiencia.
36,178,5,2024-11-07,Muy buena experiencia.
488,3,3,2026-06-13,El ambiente fue agradable.
408,187,3,2026-01-10,La comida estuvo deliciosa.
450,170,2,2025-03-24,La comida estuvo deliciosa.
421,101,5,2025-04-29,Buena relación entre precio y calidad.
67,189,3,2025-03-15,Muy buena experiencia.
278,198,3,2024-10-27,El ambiente fue agradable.
95,82,4,2024-10-22,Los platillos estuvieron bien preparados.
449,9,4,2025-01-30,Muy buena experiencia.
474,178,1,2025-03-31,El servicio puede mejorar.
452,74,2,2026-01-17,Regresaría nuevamente.
325,56,1,2025-09-03,Los platillos estuvieron bien preparados.
405,94,1,2024-09-22,La atención fue rápida.
147,192,2,2026-02-21,La atención fue rápida.
61,51,5,2025-07-02,La atención fue rápida.
431,107,5,2025-02-11,La comida estuvo deliciosa.
319,157,5,2025-06-29,Buena relación entre precio y calidad.
419,45,4,2025-03-24,Los platillos estuvieron bien preparados.
44,192,5,2025-10-26,La atención fue rápida.
351,192,4,2025-03-27,Los platillos estuvieron bien preparados.
163,184,3,2025-08-26,La experiencia fue aceptable.
172,134,4,2024-07-31,Los platillos estuvieron bien preparados.
493,26,2,2025-07-07,Regresaría nuevamente.
52,90,2,2025-11-14,Buena relación entre precio y calidad.
135,94,4,2024-12-03,El ambiente fue agradable.
264,32,5,2024-09-26,La comida estuvo deliciosa.
40,76,4,2024-06-22,El servicio puede mejorar.
343,91,5,2024-08-26,La comida estuvo deliciosa.
99,41,2,2026-03-27,El ambiente fue agradable.
71,85,1,2025-08-28,Buena relación entre precio y calidad.
264,113,5,2025-03-14,La experiencia fue aceptable.
274,147,2,2025-09-15,Los platillos estuvieron bien preparados.
477,193,5,2025-10-19,La experiencia fue aceptable.
96,55,3,2025-04-03,Excelente servicio y comida.
143,58,2,2025-09-06,Muy buena experiencia.
83,135,3,2025-08-29,El servicio puede mejorar.
121,120,2,2025-01-11,Muy buena experiencia.
133,24,1,2025-10-13,El servicio puede mejorar.
494,25,3,2025-05-25,La experiencia fue aceptable.
150,33,2,2025-08-29,La experiencia fue aceptable.
403,95,2,2024-09-28,Regresaría nuevamente.
473,106,4,2026-02-16,El ambiente fue agradable.
433,102,4,2026-02-21,La atención fue rápida.
151,87,4,2024-07-23,Muy buena experiencia.
204,74,4,2024-09-13,Excelente servicio y comida.
498,78,3,2025-01-19,El servicio puede mejorar.
118,4,2,2025-05-02,La experiencia fue aceptable.
342,8,4,2025-09-25,La experiencia fue aceptable.
425,2,1,2025-03-13,La atención fue rápida.
20,172,3,2026-05-07,Excelente servicio y comida.
261,182,5,2025-07-13,Regresaría nuevamente.
115,10,1,2024-07-02,El servicio puede mejorar.
306,56,1,2025-09-29,El servicio puede mejorar.
422,107,5,2026-04-30,La atención fue rápida.
77,198,4,2025-02-22,El ambiente fue agradable.
58,108,1,2025-08-18,Muy buena experiencia.
295,16,2,2025-03-26,La atención fue rápida.
346,93,1,2026-02-11,Regresaría nuevamente.
93,41,5,2026-02-23,La atención fue rápida.
465,189,4,2025-12-12,La atención fue rápida.
118,165,3,2025-07-19,Regresaría nuevamente.
170,126,1,2025-02-24,Muy buena experiencia.
30,183,3,2025-12-04,Regresaría nuevamente.
285,198,3,2024-09-10,Buena relación entre precio y calidad.
419,33,5,2026-03-27,Regresaría nuevamente.
277,68,5,2025-06-17,La atención fue rápida.
14,119,3,2024-09-07,Regresaría nuevamente.
476,141,2,2024-11-05,El servicio puede mejorar.
60,105,4,2025-09-02,La atención fue rápida.
68,146,2,2025-03-20,El ambiente fue agradable.
499,173,1,2026-03-22,La comida estuvo deliciosa.
41,158,5,2024-08-14,Los platillos estuvieron bien preparados.
143,47,5,2026-03-10,La atención fue rápida.
303,108,1,2025-05-06,El ambiente fue agradable.
74,130,3,2024-11-29,Regresaría nuevamente.
137,80,4,2025-12-31,Los platillos estuvieron bien preparados.
467,94,3,2025-03-11,Excelente servicio y comida.
160,1,4,2026-02-03,El ambiente fue agradable.
413,125,1,2025-10-20,Buena relación entre precio y calidad.
98,134,1,2025-12-15,Buena relación entre precio y calidad.
238,153,5,2025-06-30,Excelente servicio y comida.
351,163,2,2025-03-06,Regresaría nuevamente.
50,140,1,2025-10-09,Regresaría nuevamente.
202,117,5,2026-01-05,La atención fue rápida.
496,109,2,2026-06-07,Muy buena experiencia.
136,129,4,2024-12-04,La comida estuvo deliciosa.
453,103,2,2025-11-11,Los platillos estuvieron bien preparados.
428,165,1,2024-11-08,El servicio puede mejorar.
321,88,4,2024-07-10,La comida estuvo deliciosa.
19,49,4,2025-07-19,Muy buena experiencia.
101,3,4,2024-10-14,La comida estuvo deliciosa.
319,34,3,2026-01-17,Excelente servicio y comida.
480,9,2,2024-08-21,Excelente servicio y comida.
355,163,3,2025-01-27,El ambiente fue agradable.
200,184,1,2025-09-26,Buena relación entre precio y calidad.
438,193,3,2025-10-13,El ambiente fue agradable.
488,196,3,2025-06-14,La atención fue rápida.
171,67,4,2025-10-17,La atención fue rápida.
247,50,2,2026-01-31,El ambiente fue agradable.
311,163,5,2026-05-17,El ambiente fue agradable.
448,150,4,2025-06-10,Los platillos estuvieron bien preparados.
328,25,3,2025-03-25,Muy buena experiencia.
184,19,5,2024-09-23,Buena relación entre precio y calidad.
148,147,3,2025-04-02,La comida estuvo deliciosa.
465,13,5,2026-01-09,Regresaría nuevamente.
276,77,3,2025-08-21,La experiencia fue aceptable.
65,110,3,2026-03-30,Muy buena experiencia.
456,161,1,2024-10-14,Los platillos estuvieron bien preparados.
101,130,2,2025-12-22,Buena relación entre precio y calidad.
286,148,4,2024-12-24,Muy buena experiencia.
489,190,5,2024-11-05,El servicio puede mejorar.
306,139,5,2024-10-07,El ambiente fue agradable.
451,109,2,2024-08-07,El ambiente fue agradable.
66,177,1,2026-06-03,La comida estuvo deliciosa.
402,12,3,2024-12-13,El servicio puede mejorar.
448,64,4,2025-07-26,La atención fue rápida.
93,38,4,2025-08-31,Excelente servicio y comida.
293,130,4,2024-09-30,Muy buena experiencia.
463,86,3,2024-08-11,El ambiente fue agradable.
135,159,3,2024-10-09,Excelente servicio y comida.
215,86,4,2024-10-27,La atención fue rápida.
258,101,2,2026-04-27,El servicio puede mejorar.
195,136,4,2024-11-15,Los platillos estuvieron bien preparados.
42,125,2,2025-03-10,El servicio puede mejorar.
167,42,5,2026-06-04,Regresaría nuevamente.
27,8,4,2024-09-25,Excelente servicio y comida.
308,162,5,2024-07-14,La comida estuvo deliciosa.
471,19,2,2026-06-12,Excelente servicio y comida.
24,80,4,2026-05-06,El ambiente fue agradable.
167,114,3,2026-05-08,Regresaría nuevamente.
436,140,2,2024-07-12,La atención fue rápida.
361,196,2,2025-04-06,La experiencia fue aceptable.
415,142,5,2026-01-08,Buena relación entre precio y calidad.
165,193,1,2025-09-24,El ambiente fue agradable.
283,43,2,2025-11-20,La comida estuvo deliciosa.
208,74,5,2024-10-06,Excelente servicio y comida.
207,30,1,2025-11-07,El ambiente fue agradable.
56,193,1,2025-02-26,El ambiente fue agradable.
143,199,1,2026-02-24,La atención fue rápida.
238,177,3,2025-12-03,El ambiente fue agradable.
183,185,1,2024-07-01,Buena relación entre precio y calidad.
427,166,5,2024-09-27,La experiencia fue aceptable.
249,54,4,2026-02-03,La experiencia fue aceptable.
500,184,4,2026-03-25,Buena relación entre precio y calidad.
404,190,2,2024-09-19,El servicio puede mejorar.
79,16,5,2025-03-24,Los platillos estuvieron bien preparados.
92,22,3,2024-06-28,Excelente servicio y comida.
212,145,4,2025-08-06,El ambiente fue agradable.
207,87,1,2024-09-26,Los platillos estuvieron bien preparados.
256,185,2,2025-05-26,Los platillos estuvieron bien preparados.
383,41,5,2026-02-07,El servicio puede mejorar.
397,83,5,2025-09-24,Los platillos estuvieron bien preparados.
185,186,5,2025-08-24,La experiencia fue aceptable.
16,119,5,2025-12-08,La comida estuvo deliciosa.
68,44,1,2025-08-07,Muy buena experiencia.
163,72,4,2024-08-24,La atención fue rápida.
100,2,3,2026-01-16,El servicio puede mejorar.
186,5,4,2026-05-30,La experiencia fue aceptable.
416,10,5,2024-10-04,Muy buena experiencia.
67,129,5,2025-10-16,La comida estuvo deliciosa.
2,23,2,2024-09-28,Muy buena experiencia.
76,117,4,2026-02-03,La experiencia fue aceptable.
324,107,5,2025-09-01,La atención fue rápida.
5,180,4,2025-11-19,El servicio puede mejorar.
184,69,2,2025-01-20,El servicio puede mejorar.
221,52,1,2025-10-14,La comida estuvo deliciosa.
256,76,1,2024-07-07,La atención fue rápida.
156,167,1,2024-12-20,Regresaría nuevamente.
437,140,3,2024-07-24,La experiencia fue aceptable.
256,112,3,2026-04-06,La comida estuvo deliciosa.
10,103,2,2025-03-04,Regresaría nuevamente.
149,117,5,2026-03-22,Los platillos estuvieron bien preparados.
393,8,3,2024-12-10,Excelente servicio y comida.
434,157,3,2025-02-22,Los platillos estuvieron bien preparados.
163,67,1,2024-12-23,La atención fue rápida.
249,73,4,2024-08-15,Buena relación entre precio y calidad.
50,83,4,2026-02-01,La atención fue rápida.
158,8,5,2025-11-16,La atención fue rápida.
11,143,3,2025-04-05,Regresaría nuevamente.
216,167,3,2026-05-07,Excelente servicio y comida.
25,66,1,2024-12-24,El servicio puede mejorar.
88,161,4,2026-02-26,La experiencia fue aceptable.
48,80,5,2025-10-03,Buena relación entre precio y calidad.
101,10,1,2025-08-04,Buena relación entre precio y calidad.
243,138,4,2025-11-26,La comida estuvo deliciosa.
333,76,1,2024-10-29,Regresaría nuevamente.
25,34,3,2024-08-13,El servicio puede mejorar.
363,80,3,2024-10-15,Muy buena experiencia.
103,155,2,2026-05-13,Buena relación entre precio y calidad.
93,163,4,2025-09-28,Buena relación entre precio y calidad.
385,53,1,2024-08-09,El servicio puede mejorar.
281,121,2,2026-02-03,Regresaría nuevamente.
10,190,5,2025-03-23,Regresaría nuevamente.
139,29,5,2024-11-11,Los platillos estuvieron bien preparados.
457,65,5,2024-10-05,Muy buena experiencia.
269,163,4,2024-07-22,La experiencia fue aceptable.
272,171,5,2025-08-07,El ambiente fue agradable.
72,84,4,2024-10-03,El servicio puede mejorar.
241,184,5,2025-06-04,Regresaría nuevamente.
24,161,3,2024-07-26,Muy buena experiencia.
236,41,5,2025-09-08,El ambiente fue agradable.
179,22,3,2025-11-28,Regresaría nuevamente.
233,186,2,2026-04-30,Buena relación entre precio y calidad.
366,57,4,2024-11-07,El ambiente fue agradable.
286,184,1,2026-02-01,El ambiente fue agradable.
219,13,2,2026-06-14,El ambiente fue agradable.
262,59,3,2024-06-29,Muy buena experiencia.
414,161,3,2026-01-26,Buena relación entre precio y calidad.
295,187,3,2026-04-17,La comida estuvo deliciosa.
296,175,1,2024-08-18,Regresaría nuevamente.
300,182,1,2025-02-24,Regresaría nuevamente.
251,197,2,2026-06-09,El servicio puede mejorar.
416,192,3,2025-08-18,La comida estuvo deliciosa.
288,83,1,2025-02-15,El servicio puede mejorar.
343,139,4,2025-05-30,Excelente servicio y comida.
26,71,5,2024-12-04,Los platillos estuvieron bien preparados.
59,140,2,2025-10-29,El servicio puede mejorar.
456,119,4,2026-05-20,Los platillos estuvieron bien preparados.
327,175,5,2025-08-26,Muy buena experiencia.
384,184,5,2024-11-07,Regresaría nuevamente.
2,99,1,2026-06-14,El ambiente fue agradable.
271,174,2,2025-04-23,La experiencia fue aceptable.
448,177,4,2024-09-17,La atención fue rápida.
91,48,4,2024-08-27,Regresaría nuevamente.
290,11,4,2025-02-18,Excelente servicio y comida.
327,25,5,2024-10-12,La experiencia fue aceptable.
47,71,2,2025-12-31,Buena relación entre precio y calidad.
308,149,1,2024-08-17,Los platillos estuvieron bien preparados.
283,175,1,2024-07-31,Regresaría nuevamente.
1,15,4,2024-11-01,La comida estuvo deliciosa.
293,151,3,2025-07-04,El ambiente fue agradable.
359,159,5,2025-06-05,Excelente servicio y comida.
182,151,1,2026-04-08,La experiencia fue aceptable.
53,181,2,2024-08-09,El ambiente fue agradable.
2,175,2,2025-01-13,Excelente servicio y comida.
489,199,5,2025-09-13,Muy buena experiencia.
72,163,1,2025-08-29,Regresaría nuevamente.
55,102,3,2025-09-24,Regresaría nuevamente.
261,147,5,2025-06-19,La atención fue rápida.
221,86,3,2026-01-07,Buena relación entre precio y calidad.
2,180,3,2025-05-07,La experiencia fue aceptable.
10,146,3,2026-05-02,La atención fue rápida.
234,190,2,2026-01-08,Excelente servicio y comida.
362,3,1,2025-05-29,El ambiente fue agradable.
223,105,3,2024-09-25,La comida estuvo deliciosa.
470,14,1,2025-11-26,Buena relación entre precio y calidad.
348,185,5,2024-11-03,Muy buena experiencia.
5,132,4,2026-04-18,Regresaría nuevamente.
87,26,5,2024-12-20,La atención fue rápida.
462,46,5,2025-04-30,La atención fue rápida.
68,125,1,2026-05-23,La comida estuvo deliciosa.
190,52,2,2026-05-26,El servicio puede mejorar.
464,63,4,2025-01-12,La comida estuvo deliciosa.
98,70,3,2026-01-20,La comida estuvo deliciosa.
459,111,1,2025-03-12,La comida estuvo deliciosa.
402,82,5,2026-03-02,El servicio puede mejorar.
54,137,2,2025-03-21,La experiencia fue aceptable.
14,144,2,2026-05-06,Muy buena experiencia.
112,61,3,2025-11-10,Los platillos estuvieron bien preparados.
350,48,3,2026-01-16,El ambiente fue agradable.
399,164,2,2025-06-20,Regresaría nuevamente.
136,17,1,2026-05-27,El servicio puede mejorar.
99,74,4,2026-04-26,El ambiente fue agradable.
264,50,1,2024-11-14,El ambiente fue agradable.
87,121,2,2025-07-04,Los platillos estuvieron bien preparados.
120,160,5,2025-02-08,Regresaría nuevamente.
247,32,4,2025-10-19,La atención fue rápida.
484,151,3,2025-05-28,La experiencia fue aceptable.
440,184,4,2025-04-02,Muy buena experiencia.
259,15,3,2025-02-28,Los platillos estuvieron bien preparados.
122,139,5,2026-06-09,Excelente servicio y comida.
60,78,2,2025-02-24,Muy buena experiencia.
266,7,3,2024-09-26,El ambiente fue agradable.
245,76,5,2024-07-28,La comida estuvo deliciosa.
432,176,3,2026-03-11,La comida estuvo deliciosa.
76,17,3,2025-08-21,Regresaría nuevamente.
445,30,1,2025-08-20,La comida estuvo deliciosa.
3,124,4,2025-05-18,El servicio puede mejorar.
359,165,2,2025-11-02,Regresaría nuevamente.
311,195,1,2024-12-23,La comida estuvo deliciosa.
26,35,4,2026-02-20,Muy buena experiencia.
216,111,3,2025-10-13,El servicio puede mejorar.
393,145,1,2025-01-13,La experiencia fue aceptable.
428,136,4,2024-11-07,Regresaría nuevamente.
152,42,1,2025-09-17,Regresaría nuevamente.
104,64,2,2025-10-22,Buena relación entre precio y calidad.
109,158,2,2024-07-13,Los platillos estuvieron bien preparados.
335,11,1,2025-10-12,Regresaría nuevamente.
174,129,4,2026-04-11,La comida estuvo deliciosa.
305,12,4,2025-03-30,Los platillos estuvieron bien preparados.
41,135,4,2025-06-20,Excelente servicio y comida.
185,44,4,2025-07-30,Buena relación entre precio y calidad.
259,133,1,2024-10-18,La comida estuvo deliciosa.
402,151,1,2026-04-05,Los platillos estuvieron bien preparados.
177,148,2,2025-07-25,La comida estuvo deliciosa.
382,192,1,2024-07-29,Regresaría nuevamente.
24,16,5,2025-03-15,La comida estuvo deliciosa.
422,157,1,2026-03-16,La experiencia fue aceptable.
33,83,4,2025-01-21,La comida estuvo deliciosa.
218,157,3,2026-06-14,El servicio puede mejorar.
452,170,1,2024-08-31,Los platillos estuvieron bien preparados.
350,169,2,2026-02-13,Excelente servicio y comida.
301,42,2,2025-11-13,Buena relación entre precio y calidad.
206,13,3,2026-02-05,El ambiente fue agradable.
328,84,5,2025-11-25,La atención fue rápida.
336,179,3,2025-03-13,La comida estuvo deliciosa.
160,193,4,2025-10-10,El ambiente fue agradable.
317,96,1,2026-01-13,La atención fue rápida.
237,13,3,2025-05-21,La comida estuvo deliciosa.
329,91,3,2025-09-04,Muy buena experiencia.
331,50,2,2026-05-11,Excelente servicio y comida.
174,174,3,2025-11-08,El ambiente fue agradable.
285,195,3,2024-07-29,Muy buena experiencia.
347,59,4,2026-01-10,La atención fue rápida.
340,105,4,2026-02-08,El servicio puede mejorar.
388,154,1,2025-02-14,La comida estuvo deliciosa.
45,16,4,2024-09-01,El ambiente fue agradable.
128,82,3,2025-12-10,Muy buena experiencia.
445,119,1,2026-06-04,El servicio puede mejorar.
28,90,4,2025-06-25,Excelente servicio y comida.
460,19,3,2025-09-16,Muy buena experiencia.
112,130,5,2024-07-24,La comida estuvo deliciosa.
165,74,3,2026-02-28,El servicio puede mejorar.
96,6,4,2025-02-12,Los platillos estuvieron bien preparados.
424,62,2,2025-10-27,La experiencia fue aceptable.
71,101,3,2025-08-22,Los platillos estuvieron bien preparados.
182,165,3,2026-06-04,Buena relación entre precio y calidad.
497,196,5,2026-02-23,El servicio puede mejorar.
80,78,4,2024-09-05,Regresaría nuevamente.
474,156,5,2025-10-09,Los platillos estuvieron bien preparados.
137,101,5,2025-08-14,Regresaría nuevamente.
477,184,1,2024-10-09,Muy buena experiencia.
234,80,3,2025-07-17,La comida estuvo deliciosa.
476,63,3,2025-12-01,Muy buena experiencia.
308,78,4,2024-12-02,Regresaría nuevamente.
444,59,5,2024-07-11,Los platillos estuvieron bien preparados.
485,61,3,2024-10-05,Buena relación entre precio y calidad.
217,8,2,2025-09-23,La experiencia fue aceptable.
87,82,4,2025-04-15,Muy buena experiencia.
175,8,1,2025-05-13,El ambiente fue agradable.
82,168,4,2025-05-15,Excelente servicio y comida.
214,180,2,2025-01-26,Regresaría nuevamente.
349,27,3,2025-05-17,Muy buena experiencia.
55,43,4,2024-06-29,El ambiente fue agradable.
387,157,4,2024-08-10,Buena relación entre precio y calidad.
326,48,3,2025-11-16,Regresaría nuevamente.
190,145,2,2026-01-05,La experiencia fue aceptable.
481,24,1,2026-02-09,La comida estuvo deliciosa.
291,185,1,2026-01-15,Muy buena experiencia.
328,60,1,2026-02-27,Muy buena experiencia.
253,24,3,2024-07-23,La atención fue rápida.
293,78,1,2026-01-24,La comida estuvo deliciosa.
474,146,1,2026-02-28,La comida estuvo deliciosa.
390,68,5,2025-05-26,El ambiente fue agradable.
397,71,4,2025-07-28,La experiencia fue aceptable.
80,163,2,2025-05-11,El ambiente fue agradable.
469,128,4,2024-11-18,El servicio puede mejorar.
422,40,1,2024-12-21,Buena relación entre precio y calidad.
459,49,4,2025-10-29,Muy buena experiencia.
